season,date,game_team_abbr,team_name,all_nba,first_team_nba,second_team_nba,third_team_nba,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2000-01,2000-12-30,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-03,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-07,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-12,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-13,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-15,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-19,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-21,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-23,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-26,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-28,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2001-01-30,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2001-01-31,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2001-02-02,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2001-02-04,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2001-02-07,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2001-02-13,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-02-14,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-02-16,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-02-18,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-02-20,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-02-21,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-02-23,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-02-25,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-02-28,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-03,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-04,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-06,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-07,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-09,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-11,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-03-13,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-03-15,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-16,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-18,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-19,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-21,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-03-23,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-03-25,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-03-26,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-03-28,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-03-30,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-04-01,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-04-03,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-04-05,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-04-06,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-04-08,LAL,Los Angeles Lakers,1,1,0,0,0,0,0,0
2000-01,2001-04-10,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-04-12,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-04-15,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-04-17,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-10-31,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-02,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-04,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-07,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-08,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-11,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-15,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-17,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-18,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-22,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-24,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-25,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-27,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-28,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-11-30,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-02,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-03,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-06,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-07,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-09,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-12,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-13,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-15,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-17,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-21,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-23,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-26,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-28,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2000-12-30,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-02,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-03,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-05,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-07,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-09,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-11,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-13,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-15,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
