game_id,season,date,playoff,win,points,home_team,conference,first_interconf_trip,dist_traveled,dist_3days,dist_7days,dist_30days,lon_traveled,tz_traveled,same_tz_3days,same_tz_7days,same_tz_30days,tz_total_3days,tz_total_7days,tz_total_30days,tz_east_3days,tz_east_7days,tz_east_30days,tz_west_3days,tz_west_7days,tz_west_30days,days_rest,second_backtoback,three_in_four,games_2days,games_3days,games_4days,games_7days,games_30days,road_3days,road_7days,road_30days,total_wins_ly,pyth_40games,pace_40games,ftr_40games,tpar_40games,ts_40games,trb_40games,steal_40games,block_40games,efg_40games,tov_40games,orb_40games,drb_40games,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2015-03-20 ATL OKC,2014-15,2015-03-20,0,1,8,1,W,0,-2216.80575905963,-2058.4637675095796,-2921.22280548951,-2094.168264105345,-24.687843,-2,1,2,1,-2,-3,-1,-2,-2,0,0,-1,-1,0,0,0,0,0,0,0,1,-2,-3,-3,28,-0.07811964246897429,0.18500000000000227,0.021150000000000002,-0.07219999999999999,-0.024249999999999994,4.952500000000001,-2.0025000000000004,1.1550000000000011,-0.029249999999999998,-0.7750000000000004,7.285,3.4525000000000006,1,0,0,0
2015-03-20 BOS SAS,2014-15,2015-03-20,0,0,-12,0,E,0,-1104.198617799256,121.34650409108372,173.96998854256435,7578.211417290058,9.597978999999999,0,0,1,3,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,2,1,1,2,-53,-0.16339922877091462,-4.122500000000002,-0.030774999999999997,0.018274999999999986,-0.03617500000000007,-0.8725000000000023,-0.3199999999999985,-2.4524999999999997,-0.031275,-0.7900000000000009,2.6300000000000026,-2.5474999999999994,-1,0,-1,0
2015-03-20 CHA SAC,2014-15,2015-03-20,0,1,10,1,W,0,-588.444281666138,-588.444281666138,-262.9481367847711,4281.364086938023,3.250874,0,1,2,0,0,0,5,0,0,3,0,0,2,-1,0,0,0,1,0,1,1,-1,-2,0,-20,-0.23461319891521198,3.5150000000000006,0.05105000000000004,-0.01730000000000001,0.03364999999999996,0.12250000000000227,0.41999999999999993,-3.4925000000000006,0.025875000000000037,3.2775,3.037499999999998,-3.632499999999993,-1,0,0,-1
2015-03-20 DEN MIA,2014-15,2015-03-20,0,1,17,1,E,0,-1557.75563927575,-2336.185313045561,-2669.5708611823484,-2051.650696307597,-15.175132,-1,1,1,3,-1,-2,-5,-1,-2,-4,0,0,-1,1,-1,0,-1,0,0,-1,-1,-2,-4,-3,31,0.10634676235054619,1.0799999999999983,0.034375000000000044,-0.02604999999999999,0.027549999999999963,1.2974999999999994,0.36249999999999893,1.0525000000000002,0.022425000000000028,1.7200000000000006,-1.1199999999999974,-0.2750000000000057,1,0,0,1
2015-03-20 POR ORL,2014-15,2015-03-20,0,0,-7,0,W,0,-1222.160873843187,-101.80180204982071,702.7061621475095,5639.415842140297,-16.623386,-1,1,1,-2,-1,1,5,-1,2,4,0,-1,1,0,0,-1,0,0,-1,0,-1,1,2,2,36,0.33938592316793553,5.435000000000002,-0.004975000000000007,0.09605000000000002,0.01817499999999994,1.4425000000000026,-2.2375,-0.22750000000000004,0.010199999999999931,-0.7874999999999996,0.46000000000000085,-0.4449999999999932,2,0,0,2
2015-03-20 WAS LAC,2014-15,2015-03-20,0,0,-14,0,E,0,346.265919714285,2731.158350944067,734.2468682368267,404.3799049336576,-9.617041,-1,-2,-1,-5,3,1,1,0,0,-1,3,1,2,0,0,-1,0,0,-1,0,-1,1,1,0,-13,-0.17445066253482233,-7.6875,-0.03540000000000004,-0.110175,-0.014674999999999994,3.0775000000000006,-0.8274999999999997,-1.125,-0.021549999999999958,3.2700000000000014,1.7050000000000018,3.3925000000000125,-2,-1,-1,0
2015-03-22 CHA MIN,2014-15,2015-03-22,0,0,-11,1,W,0,-795.8450636950099,-1384.289345361148,-1649.696615519013,-2166.3739206152477,-47.524689,-3,-1,1,-1,-1,-3,-1,-2,-1,0,1,-2,-1,1,0,0,0,-1,0,0,-1,-2,-2,-2,-8,-0.19351467219659035,3.9825000000000017,0.00572499999999998,-0.03215000000000001,0.019750000000000045,-1.207499999999996,1.7275,-3.8950000000000005,0.015149999999999997,1.772499999999999,4.829999999999998,-6.327500000000001,-1,0,0,-1
2015-03-22 DEN ORL,2014-15,2015-03-22,0,0,-19,1,E,0,-327.793889206873,-335.594765432563,40.53596170508217,-1718.2011025073516,1.196885,0,0,-1,-1,0,1,-1,0,0,-1,0,1,0,0,0,-1,0,0,-1,0,-2,-2,-2,-2,-13,-0.04580638464635017,-0.1875,-0.035099999999999965,-0.03505,0.014125000000000054,0.07750000000000057,0.9350000000000005,-0.9775,0.018075000000000008,1.174999999999999,-1.5350000000000001,1.7849999999999966,0,0,0,0
2015-03-22 MIA OKC,2014-15,2015-03-22,0,1,18,1,W,0,-1973.17008047855,-1973.17008047855,-3349.04958462906,-862.2724724395157,17.328149,1,1,1,-2,-1,-1,3,0,0,2,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,1,2,0.15308000274386757,5.447500000000005,-0.020750000000000046,0.01387499999999997,-0.0013499999999999623,2.602499999999999,-0.6000000000000005,0.6374999999999993,-0.002850000000000019,-1.4525000000000006,5.305,1.3449999999999989,0,0,0,-1
2015-03-22 PHI LAL,2014-15,2015-03-22,0,0,-14,0,E,0,3854.18040484114,3854.18040484114,3648.0662458887937,4130.948712666375,-43.095275,-3,0,0,2,3,3,-1,0,0,-2,3,3,1,-1,0,0,0,1,0,1,2,1,1,2,-8,-0.06343522005453367,-5.552499999999995,0.018125000000000002,0.10655,-0.014224999999999988,-2.075000000000003,2.3499999999999996,3.147499999999999,-0.01084999999999997,3.16,1.197499999999998,-3.855000000000004,0,0,0,0
2015-03-22 SAS ATL,2014-15,2015-03-22,0,1,19,0,W,0,197.89459538945994,-239.73563377353003,2754.1574177440516,-1810.863309404207,0.922369999999999,0,1,-1,-2,-2,0,-1,-2,-1,1,0,1,-2,0,0,0,0,0,0,0,-1,0,0,-2,37,-0.05724115201668878,-1.8725000000000023,-0.008674999999999988,-0.051549999999999985,-0.015249999999999986,1.5174999999999983,-1.3350000000000009,0.037499999999999645,-0.014624999999999999,-0.6099999999999994,-0.08999999999999986,4.052500000000009,1,0,1,0
2015-03-22 WAS SAC,2014-15,2015-03-22,0,1,23,1,W,0,-588.444281666138,-1523.154483046561,-668.9397617551108,2158.2345479174,3.250874,0,1,1,5,-1,0,-1,0,0,1,-1,0,-2,0,0,0,0,0,0,0,1,-2,-3,0,-22,-0.1869752756865159,0.2775000000000034,0.0816,-0.008874999999999994,-0.0036249999999999893,-0.4299999999999997,-0.3025000000000002,-1.1774999999999993,-0.021150000000000058,0.5274999999999999,1.6024999999999991,-1.7475000000000023,0,0,0,0
2015-03-23 HOU IND,2014-15,2015-03-23,0,1,10,0,W,0,1392.67389784716,968.6521744378491,2385.6367053130607,4358.240261221896,9.206642,1,-1,0,-4,1,1,5,1,2,3,0,-1,2,0,0,-1,0,0,-1,0,0,1,-1,2,-10,0.04135793267484744,1.990000000000009,0.008850000000000025,0.13442500000000002,0.013050000000000006,-2.2749999999999986,3.0700000000000003,0.3824999999999994,0.022275000000000045,1.6274999999999995,2.835000000000001,-5.142499999999998,1,1,0,0
